loan_sequence_number,grade,grade_pd_longrun,grade_pd_final
F15Q10283419,E,0.006,0.0069
F15Q10283478,A,0.0005,0.0008
F15Q10283480,H,0.0236,0.0267
F15Q10283493,D,0.0025,0.0031
F15Q10283507,B,0.0012,0.0016
F15Q10283541,C,0.0015,0.002
F15Q10283563,A,0.0005,0.0008
F15Q10283572,H,0.0236,0.0267
F15Q10283592,D,0.0025,0.0031
F15Q10283633,D,0.0025,0.0031
F15Q10283637,E,0.006,0.0069
F15Q10283642,F,0.0098,0.011
F15Q10283649,B,0.0012,0.0016
F15Q10283658,B,0.0012,0.0016
F15Q10283680,E,0.006,0.0069
F15Q10283693,F,0.0098,0.011
F15Q10283700,C,0.0015,0.002
F15Q10283716,C,0.0015,0.002
F15Q10283740,H,0.0236,0.0267
F15Q10283849,B,0.0012,0.0016
F15Q10283850,A,0.0005,0.0008
F15Q10283851,D,0.0025,0.0031
F15Q10283895,C,0.0015,0.002
F15Q10283926,C,0.0015,0.002
F15Q10283978,A,0.0005,0.0008
F15Q10283992,A,0.0005,0.0008
F15Q10284001,A,0.0005,0.0008
F15Q10284007,C,0.0015,0.002
F15Q10284043,G,0.0129,0.0143
F15Q10284067,D,0.0025,0.0031
F15Q10284082,C,0.0015,0.002
F15Q10284109,B,0.0012,0.0016
F15Q10284116,E,0.006,0.0069
F15Q10284132,F,0.0098,0.011
F15Q10284159,C,0.0015,0.002
F15Q10284182,B,0.0012,0.0016
F15Q10284191,D,0.0025,0.0031
F15Q10284207,D,0.0025,0.0031
F15Q10284226,B,0.0012,0.0016
F15Q10284234,B,0.0012,0.0016
F15Q10284258,C,0.0015,0.002
F15Q10284267,H,0.0236,0.0267
F15Q10284290,C,0.0015,0.002
F15Q10284303,A,0.0005,0.0008
F15Q10284312,E,0.006,0.0069
F15Q10284350,A,0.0005,0.0008
F15Q10284372,E,0.006,0.0069
F15Q10284456,B,0.0012,0.0016
F15Q10284495,B,0.0012,0.0016
F15Q10284523,B,0.0012,0.0016
F15Q10284543,F,0.0098,0.011
F15Q10284546,C,0.0015,0.002
F15Q10284596,F,0.0098,0.011
F15Q10284619,C,0.0015,0.002
F15Q10284654,A,0.0005,0.0008
F15Q10284664,G,0.0129,0.0143
F15Q10284698,F,0.0098,0.011
F15Q10284721,A,0.0005,0.0008
F15Q10284771,A,0.0005,0.0008
F15Q10284790,E,0.006,0.0069
F15Q10284954,F,0.0098,0.011
F15Q10284980,B,0.0012,0.0016
F15Q10284990,B,0.0012,0.0016
F15Q10284995,D,0.0025,0.0031
F15Q10285005,B,0.0012,0.0016
F15Q10285015,C,0.0015,0.002
F15Q10285021,C,0.0015,0.002
F15Q10285093,G,0.0129,0.0143
F15Q10285096,F,0.0098,0.011
F15Q10285152,E,0.006,0.0069
F15Q10285163,F,0.0098,0.011
F15Q10285203,D,0.0025,0.0031
F15Q10285210,A,0.0005,0.0008
F15Q10285212,B,0.0012,0.0016
F15Q10285248,B,0.0012,0.0016
F15Q10285296,D,0.0025,0.0031
F15Q10285319,D,0.0025,0.0031
F15Q10285351,A,0.0005,0.0008
F15Q10285395,D,0.0025,0.0031
F15Q10285418,B,0.0012,0.0016
F15Q10285470,B,0.0012,0.0016
F15Q10285472,D,0.0025,0.0031
F15Q10285476,D,0.0025,0.0031
F15Q10285486,E,0.006,0.0069
F15Q10285494,E,0.006,0.0069
F15Q10285506,B,0.0012,0.0016
F15Q10285510,H,0.0236,0.0267
F15Q10285610,H,0.0236,0.0267
F15Q10285798,D,0.0025,0.0031
F15Q10285806,F,0.0098,0.011
F15Q10285832,D,0.0025,0.0031
F15Q10285833,C,0.0015,0.002
F15Q10285843,B,0.0012,0.0016
F15Q10285849,F,0.0098,0.011
F15Q10285917,G,0.0129,0.0143
F15Q10285933,G,0.0129,0.0143
F15Q10285951,F,0.0098,0.011
F15Q10285989,B,0.0012,0.0016
F15Q10286000,G,0.0129,0.0143
F15Q10286010,A,0.0005,0.0008
F15Q10286012,E,0.006,0.0069
F15Q10286020,F,0.0098,0.011
F15Q10286057,E,0.006,0.0069
F15Q10286124,C,0.0015,0.002
F15Q10286131,H,0.0236,0.0267
F15Q10286132,G,0.0129,0.0143
F15Q10286140,G,0.0129,0.0143
F15Q10286178,H,0.0236,0.0267
F15Q10286225,B,0.0012,0.0016
F15Q10286333,F,0.0098,0.011
F15Q10286368,A,0.0005,0.0008
F15Q10286385,C,0.0015,0.002
F15Q10286452,A,0.0005,0.0008
F15Q10286455,G,0.0129,0.0143
F15Q10286486,A,0.0005,0.0008
F15Q10286495,E,0.006,0.0069
F15Q10286514,B,0.0012,0.0016
F15Q10286534,H,0.0236,0.0267
F15Q10286539,C,0.0015,0.002
F15Q10286557,D,0.0025,0.0031
F15Q10286709,F,0.0098,0.011
F15Q10286747,B,0.0012,0.0016
F15Q10286759,E,0.006,0.0069
F15Q10286780,C,0.0015,0.002
F15Q10286801,C,0.0015,0.002
F15Q10286806,A,0.0005,0.0008
F15Q10286810,B,0.0012,0.0016
F15Q10286833,A,0.0005,0.0008
F15Q10286906,A,0.0005,0.0008
F15Q10286926,B,0.0012,0.0016
F15Q10286930,G,0.0129,0.0143
F15Q10286979,F,0.0098,0.011
F15Q10286985,D,0.0025,0.0031
F15Q10287017,F,0.0098,0.011
F15Q10287025,A,0.0005,0.0008
F15Q10287054,A,0.0005,0.0008
F15Q10287078,A,0.0005,0.0008
F15Q10287095,A,0.0005,0.0008
F15Q10287146,D,0.0025,0.0031
F15Q10287198,B,0.0012,0.0016
F15Q10287221,D,0.0025,0.0031
F15Q10287329,A,0.0005,0.0008
F15Q10287332,C,0.0015,0.002
F15Q10287364,C,0.0015,0.002
F15Q10287394,C,0.0015,0.002
F15Q10287402,C,0.0015,0.002
F15Q10287428,C,0.0015,0.002
F15Q10287484,F,0.0098,0.011
F15Q10287522,A,0.0005,0.0008
F15Q10287535,A,0.0005,0.0008
F15Q10287654,A,0.0005,0.0008
F15Q10287691,A,0.0005,0.0008
F15Q10287695,F,0.0098,0.011
F15Q10287844,A,0.0005,0.0008
F15Q10287900,A,0.0005,0.0008
F15Q10287915,B,0.0012,0.0016
F15Q10287917,D,0.0025,0.0031
F15Q10287932,C,0.0015,0.002
F15Q10287948,A,0.0005,0.0008
F15Q10287965,G,0.0129,0.0143
F15Q10288008,F,0.0098,0.011
F15Q10288013,A,0.0005,0.0008
F15Q10288022,B,0.0012,0.0016
F15Q10288030,B,0.0012,0.0016
F15Q10288040,G,0.0129,0.0143
F15Q10288118,B,0.0012,0.0016
F15Q10288171,A,0.0005,0.0008
F15Q10288252,E,0.006,0.0069
F15Q10288264,B,0.0012,0.0016
F15Q10288322,D,0.0025,0.0031
F15Q10288355,G,0.0129,0.0143
F15Q10288381,G,0.0129,0.0143
F15Q10288384,H,0.0236,0.0267
F15Q10288415,F,0.0098,0.011
F15Q10288419,D,0.0025,0.0031
F15Q10288500,G,0.0129,0.0143
F15Q10288503,F,0.0098,0.011
F15Q10288507,C,0.0015,0.002
F15Q10288572,F,0.0098,0.011
F15Q10288575,G,0.0129,0.0143
F15Q10288603,A,0.0005,0.0008
F15Q10288730,B,0.0012,0.0016
F15Q10288801,G,0.0129,0.0143
F15Q10288896,A,0.0005,0.0008
F15Q10288944,A,0.0005,0.0008
F15Q10288983,A,0.0005,0.0008
F15Q10289008,C,0.0015,0.002
F15Q10289036,B,0.0012,0.0016
F15Q10289060,G,0.0129,0.0143
F15Q10289080,G,0.0129,0.0143
F15Q10289085,E,0.006,0.0069
F15Q10289112,A,0.0005,0.0008
F15Q10289142,F,0.0098,0.011
F15Q10289152,D,0.0025,0.0031
F15Q10289222,H,0.0236,0.0267
F15Q10289244,D,0.0025,0.0031
F15Q10289257,D,0.0025,0.0031
F15Q10289320,A,0.0005,0.0008
F15Q10289333,E,0.006,0.0069
F15Q10289347,D,0.0025,0.0031
F15Q10289395,H,0.0236,0.0267
F15Q10289433,A,0.0005,0.0008
F15Q10289456,E,0.006,0.0069
F15Q10289460,A,0.0005,0.0008
F15Q10289519,C,0.0015,0.002
F15Q10289532,A,0.0005,0.0008
F15Q10289575,A,0.0005,0.0008
F15Q10289593,A,0.0005,0.0008
F15Q10289596,C,0.0015,0.002
F15Q10289631,A,0.0005,0.0008
F15Q10289640,F,0.0098,0.011
F15Q10289648,H,0.0236,0.0267
F15Q10289663,B,0.0012,0.0016
F15Q10289735,F,0.0098,0.011
F15Q10289756,C,0.0015,0.002
F15Q10289810,F,0.0098,0.011
F15Q10289823,A,0.0005,0.0008
F15Q10289825,E,0.006,0.0069
F15Q10289869,H,0.0236,0.0267
F15Q10289870,D,0.0025,0.0031
F15Q10289894,E,0.006,0.0069
F15Q10289896,B,0.0012,0.0016
F15Q10289935,B,0.0012,0.0016
F15Q10289961,B,0.0012,0.0016
F15Q10289977,F,0.0098,0.011
F15Q10289980,E,0.006,0.0069
F15Q10290208,F,0.0098,0.011
F15Q10290279,A,0.0005,0.0008
F15Q10290304,B,0.0012,0.0016
F15Q10290324,E,0.006,0.0069
F15Q10290329,C,0.0015,0.002
F15Q10290455,C,0.0015,0.002
F15Q10290510,D,0.0025,0.0031
F15Q10290518,F,0.0098,0.011
F15Q10290541,C,0.0015,0.002
F15Q10290568,C,0.0015,0.002
F15Q10290614,G,0.0129,0.0143
F15Q10290630,A,0.0005,0.0008
F15Q10290631,E,0.006,0.0069
F15Q10290644,A,0.0005,0.0008
F15Q10290646,F,0.0098,0.011
F15Q10290650,B,0.0012,0.0016
F15Q10290689,D,0.0025,0.0031
F15Q10290725,C,0.0015,0.002
F15Q10290741,G,0.0129,0.0143
F15Q10290761,F,0.0098,0.011
F15Q10290779,B,0.0012,0.0016
F15Q10290811,E,0.006,0.0069
F15Q10290817,F,0.0098,0.011
F15Q10290827,A,0.0005,0.0008
F15Q10290913,F,0.0098,0.011
F15Q10290914,F,0.0098,0.011
F15Q10291034,B,0.0012,0.0016
F15Q10291041,E,0.006,0.0069
F15Q10291161,A,0.0005,0.0008
F15Q10291172,G,0.0129,0.0143
F15Q10291286,H,0.0236,0.0267
F15Q10291324,D,0.0025,0.0031
F15Q10291372,F,0.0098,0.011
F15Q10291382,C,0.0015,0.002
F15Q10291471,F,0.0098,0.011
F15Q10291482,A,0.0005,0.0008
F15Q10291522,G,0.0129,0.0143
F15Q10291597,F,0.0098,0.011
F15Q10291609,G,0.0129,0.0143
F15Q10291621,G,0.0129,0.0143
F15Q10291782,F,0.0098,0.011
F15Q10291795,G,0.0129,0.0143
F15Q10291809,D,0.0025,0.0031
F15Q10291883,F,0.0098,0.011
F15Q10291900,F,0.0098,0.011
F15Q10291922,A,0.0005,0.0008
F15Q10291942,C,0.0015,0.002
F15Q10291973,A,0.0005,0.0008
F15Q10291992,F,0.0098,0.011
F15Q10292054,B,0.0012,0.0016
F15Q10292089,E,0.006,0.0069
F15Q10292122,H,0.0236,0.0267
F15Q10292284,F,0.0098,0.011
F15Q10292413,B,0.0012,0.0016
F15Q10292470,F,0.0098,0.011
F15Q10292473,H,0.0236,0.0267
F15Q10292487,C,0.0015,0.002
F15Q10292500,D,0.0025,0.0031
F15Q10292504,B,0.0012,0.0016
F15Q10292508,G,0.0129,0.0143
F15Q10292528,D,0.0025,0.0031
F15Q10292533,C,0.0015,0.002
F15Q10292552,B,0.0012,0.0016
F15Q10292557,H,0.0236,0.0267
F15Q10292564,A,0.0005,0.0008
F15Q10292568,E,0.006,0.0069
F15Q10292602,A,0.0005,0.0008
F15Q10292606,A,0.0005,0.0008
F15Q10292621,D,0.0025,0.0031
F15Q10292627,D,0.0025,0.0031
F15Q10292653,G,0.0129,0.0143
F15Q10292661,B,0.0012,0.0016
F15Q10292668,D,0.0025,0.0031
F15Q10292712,E,0.006,0.0069
F15Q10292765,G,0.0129,0.0143
F15Q10292833,A,0.0005,0.0008
F15Q10292866,E,0.006,0.0069
F15Q10292879,D,0.0025,0.0031
F15Q10292895,A,0.0005,0.0008
F15Q10292908,G,0.0129,0.0143
F15Q10292948,F,0.0098,0.011
F15Q10292963,D,0.0025,0.0031
F15Q10292977,A,0.0005,0.0008
F15Q10292986,B,0.0012,0.0016
F15Q10292996,F,0.0098,0.011
F15Q10293005,A,0.0005,0.0008
F15Q10293044,D,0.0025,0.0031
F15Q10293051,E,0.006,0.0069
F15Q10293060,D,0.0025,0.0031
F15Q10293077,E,0.006,0.0069
F15Q10293094,D,0.0025,0.0031
F15Q10293108,H,0.0236,0.0267
F15Q10293111,E,0.006,0.0069
F15Q10293127,A,0.0005,0.0008
F15Q10293173,D,0.0025,0.0031
F15Q10293205,G,0.0129,0.0143
F15Q10293228,B,0.0012,0.0016
F15Q10293323,B,0.0012,0.0016
F15Q10293367,D,0.0025,0.0031
F15Q10293386,E,0.006,0.0069
F15Q10293394,G,0.0129,0.0143
F15Q10293399,B,0.0012,0.0016
F15Q10293409,B,0.0012,0.0016
F15Q10293483,B,0.0012,0.0016
F15Q10293513,B,0.0012,0.0016
F15Q10293528,D,0.0025,0.0031
F15Q10293565,A,0.0005,0.0008
F15Q10293587,C,0.0015,0.002
F15Q10293588,B,0.0012,0.0016
F15Q10293635,F,0.0098,0.011
F15Q10293693,G,0.0129,0.0143
F15Q10293746,E,0.006,0.0069
F15Q10293780,F,0.0098,0.011
F15Q10293822,F,0.0098,0.011
F15Q10293857,G,0.0129,0.0143
F15Q10293884,D,0.0025,0.0031
F15Q10293918,C,0.0015,0.002
F15Q10293948,C,0.0015,0.002
F15Q10293992,B,0.0012,0.0016
F15Q10293993,F,0.0098,0.011
F15Q10294026,H,0.0236,0.0267
F15Q10294042,E,0.006,0.0069
F15Q10294048,D,0.0025,0.0031
F15Q10294052,C,0.0015,0.002
F15Q10294081,C,0.0015,0.002
F15Q10294083,D,0.0025,0.0031
F15Q10294130,F,0.0098,0.011
F15Q10294141,H,0.0236,0.0267
F15Q10294153,D,0.0025,0.0031
F15Q10294189,B,0.0012,0.0016
F15Q10294240,H,0.0236,0.0267
F15Q10294253,F,0.0098,0.011
F15Q10294261,E,0.006,0.0069
F15Q10294269,C,0.0015,0.002
F15Q10294289,B,0.0012,0.0016
F15Q10294328,C,0.0015,0.002
F15Q10294337,H,0.0236,0.0267
F15Q10294338,E,0.006,0.0069
F15Q10294377,D,0.0025,0.0031
F15Q10294432,A,0.0005,0.0008
F15Q10294436,C,0.0015,0.002
F15Q10294463,C,0.0015,0.002
F15Q10294496,D,0.0025,0.0031
F15Q10294516,A,0.0005,0.0008
F15Q10294548,E,0.006,0.0069
F15Q10294555,C,0.0015,0.002
F15Q10294788,D,0.0025,0.0031
F15Q10294798,E,0.006,0.0069
F15Q10294821,C,0.0015,0.002
F15Q10294839,F,0.0098,0.011
F15Q10294867,G,0.0129,0.0143
F15Q10294890,B,0.0012,0.0016
F15Q10294928,F,0.0098,0.011
F15Q10294946,E,0.006,0.0069
F15Q10294972,G,0.0129,0.0143
F15Q10294973,A,0.0005,0.0008
F15Q10295003,E,0.006,0.0069
F15Q10295036,F,0.0098,0.011
F15Q10295047,B,0.0012,0.0016
F15Q10295085,B,0.0012,0.0016
F15Q10295162,C,0.0015,0.002
F15Q10295194,A,0.0005,0.0008
F15Q10295211,F,0.0098,0.011
F15Q10295229,C,0.0015,0.002
F15Q10295240,E,0.006,0.0069
F15Q10295246,E,0.006,0.0069
F15Q10295270,D,0.0025,0.0031
F15Q10295308,D,0.0025,0.0031
F15Q10295358,E,0.006,0.0069
F15Q10295447,B,0.0012,0.0016
F15Q10295492,A,0.0005,0.0008
F15Q10295538,G,0.0129,0.0143
F15Q10295539,C,0.0015,0.002
F15Q10295554,F,0.0098,0.011
F15Q10295569,C,0.0015,0.002
F15Q10295588,F,0.0098,0.011
F15Q10295636,C,0.0015,0.002
F15Q10295699,G,0.0129,0.0143
F15Q10295702,G,0.0129,0.0143
F15Q10295711,A,0.0005,0.0008
F15Q10295726,F,0.0098,0.011
F15Q10295736,B,0.0012,0.0016
F15Q10295754,G,0.0129,0.0143
F15Q10295775,F,0.0098,0.011
F15Q10295812,D,0.0025,0.0031
F15Q10295850,F,0.0098,0.011
F15Q10295935,E,0.006,0.0069
F15Q10295969,D,0.0025,0.0031
F15Q10295972,A,0.0005,0.0008
F15Q10296017,A,0.0005,0.0008
F15Q10296023,F,0.0098,0.011
F15Q10296038,A,0.0005,0.0008
F15Q10296063,B,0.0012,0.0016
F15Q10296098,D,0.0025,0.0031
F15Q10296110,A,0.0005,0.0008
F15Q10296143,B,0.0012,0.0016
F15Q10296162,G,0.0129,0.0143
F15Q10296186,B,0.0012,0.0016
F15Q10296190,C,0.0015,0.002
F15Q10296196,D,0.0025,0.0031
F15Q10296212,D,0.0025,0.0031
F15Q10296226,E,0.006,0.0069
F15Q10296297,E,0.006,0.0069
F15Q10296315,D,0.0025,0.0031
F15Q10296325,D,0.0025,0.0031
F15Q10296334,A,0.0005,0.0008
F15Q10296344,E,0.006,0.0069
F15Q10296374,E,0.006,0.0069
F15Q10296377,E,0.006,0.0069
F15Q10296387,D,0.0025,0.0031
F15Q10296398,A,0.0005,0.0008
F15Q10296412,B,0.0012,0.0016
F15Q10296451,F,0.0098,0.011
F15Q10296469,F,0.0098,0.011
F15Q10296490,A,0.0005,0.0008
F15Q10296493,E,0.006,0.0069
F15Q10296498,B,0.0012,0.0016
F15Q10296534,G,0.0129,0.0143
F15Q10296559,F,0.0098,0.011
F15Q10296658,A,0.0005,0.0008
F15Q10296676,A,0.0005,0.0008
F15Q10296728,E,0.006,0.0069
F15Q10296805,A,0.0005,0.0008
F15Q10296821,C,0.0015,0.002
F15Q10296825,H,0.0236,0.0267
F15Q10296886,C,0.0015,0.002
F15Q10296894,E,0.006,0.0069
F15Q10296899,C,0.0015,0.002
F15Q10296914,D,0.0025,0.0031
F15Q10296949,A,0.0005,0.0008
F15Q10297007,F,0.0098,0.011
F15Q10297033,D,0.0025,0.0031
F15Q10297048,C,0.0015,0.002
F15Q10297059,F,0.0098,0.011
F15Q10297070,F,0.0098,0.011
F15Q10297086,H,0.0236,0.0267
F15Q10297150,H,0.0236,0.0267
F15Q10297163,H,0.0236,0.0267
F15Q10297212,D,0.0025,0.0031
F15Q10297224,C,0.0015,0.002
F15Q10297245,F,0.0098,0.011
F15Q10297275,G,0.0129,0.0143
F15Q10297294,D,0.0025,0.0031
F15Q10297311,B,0.0012,0.0016
F15Q10297332,C,0.0015,0.002
F15Q10297359,D,0.0025,0.0031
F15Q10297375,B,0.0012,0.0016
F15Q10297384,D,0.0025,0.0031
F15Q10297399,A,0.0005,0.0008
F15Q10297406,C,0.0015,0.002
F15Q10297408,E,0.006,0.0069
F15Q10297456,B,0.0012,0.0016
F15Q10297510,E,0.006,0.0069
F15Q10297559,B,0.0012,0.0016
F15Q10297568,H,0.0236,0.0267
F15Q10297591,C,0.0015,0.002
F15Q10297792,G,0.0129,0.0143
F15Q10297819,C,0.0015,0.002
F15Q10297835,F,0.0098,0.011
F15Q10297870,C,0.0015,0.002
F15Q10297907,G,0.0129,0.0143
F15Q10297928,E,0.006,0.0069
F15Q10297992,E,0.006,0.0069
F15Q10298120,H,0.0236,0.0267
F15Q10298127,F,0.0098,0.011
F15Q10298131,G,0.0129,0.0143
F15Q10298133,G,0.0129,0.0143
F15Q10298192,B,0.0012,0.0016
F15Q10298220,C,0.0015,0.002
F15Q10298318,F,0.0098,0.011
F15Q10298340,A,0.0005,0.0008
F15Q10298356,B,0.0012,0.0016
F15Q10298361,A,0.0005,0.0008
F15Q10298419,F,0.0098,0.011
F15Q10298427,F,0.0098,0.011
F15Q10298433,E,0.006,0.0069
F15Q10298443,E,0.006,0.0069
F15Q10298479,C,0.0015,0.002
F15Q10298486,B,0.0012,0.0016
F15Q10298501,C,0.0015,0.002
F15Q10298506,E,0.006,0.0069
F15Q10298511,E,0.006,0.0069
F15Q10298538,G,0.0129,0.0143
F15Q10298557,A,0.0005,0.0008
F15Q10298583,H,0.0236,0.0267
F15Q10298594,D,0.0025,0.0031
F15Q10298612,F,0.0098,0.011
F15Q10298624,A,0.0005,0.0008
F15Q10298643,G,0.0129,0.0143
F15Q10298669,D,0.0025,0.0031
F15Q10298671,C,0.0015,0.002
F15Q10298677,A,0.0005,0.0008
F15Q10298716,G,0.0129,0.0143
F15Q10298724,C,0.0015,0.002
F15Q10298773,C,0.0015,0.002
F15Q10298850,E,0.006,0.0069
F15Q10298929,H,0.0236,0.0267
F15Q10298950,C,0.0015,0.002
F15Q10299034,A,0.0005,0.0008
F15Q10299036,A,0.0005,0.0008
F15Q10299087,G,0.0129,0.0143
F15Q10299097,H,0.0236,0.0267
F15Q10299098,G,0.0129,0.0143
F15Q10299122,E,0.006,0.0069
F15Q10299224,B,0.0012,0.0016
F15Q10299248,A,0.0005,0.0008
F15Q10299256,B,0.0012,0.0016
F15Q10299311,D,0.0025,0.0031
F15Q10299319,A,0.0005,0.0008
F15Q10299322,A,0.0005,0.0008
F15Q10299324,D,0.0025,0.0031
F15Q10299334,B,0.0012,0.0016
F15Q10299345,G,0.0129,0.0143
F15Q10299359,A,0.0005,0.0008
F15Q10299394,H,0.0236,0.0267
F15Q10299456,A,0.0005,0.0008
F15Q10299461,H,0.0236,0.0267
F15Q10299500,A,0.0005,0.0008
F15Q10299507,A,0.0005,0.0008
F15Q10299572,C,0.0015,0.002
F15Q10299591,H,0.0236,0.0267
F15Q10299626,C,0.0015,0.002
F15Q10299630,E,0.006,0.0069
F15Q10299710,A,0.0005,0.0008
F15Q10299745,C,0.0015,0.002
F15Q10299756,E,0.006,0.0069
F15Q10299893,D,0.0025,0.0031
F15Q10299909,A,0.0005,0.0008
F15Q10299938,C,0.0015,0.002
F15Q10300003,B,0.0012,0.0016
F15Q10300010,C,0.0015,0.002
F15Q10300053,D,0.0025,0.0031
F15Q10300062,D,0.0025,0.0031
F15Q10300120,D,0.0025,0.0031
F15Q10300145,C,0.0015,0.002
F15Q10300147,C,0.0015,0.002
F15Q10300154,B,0.0012,0.0016
F15Q10300228,H,0.0236,0.0267
F15Q10300326,G,0.0129,0.0143
F15Q10300348,E,0.006,0.0069
F15Q10300359,C,0.0015,0.002
F15Q10300396,F,0.0098,0.011
F15Q10300407,B,0.0012,0.0016
F15Q10300504,E,0.006,0.0069
F15Q10300505,H,0.0236,0.0267
F15Q10300528,F,0.0098,0.011
F15Q10300546,F,0.0098,0.011
F15Q10300558,G,0.0129,0.0143
F15Q10300631,D,0.0025,0.0031
F15Q10300638,H,0.0236,0.0267
F15Q10300738,A,0.0005,0.0008
F15Q10300808,F,0.0098,0.011
F15Q10300846,A,0.0005,0.0008
F15Q10300919,C,0.0015,0.002
F15Q10300922,A,0.0005,0.0008
F15Q10300993,E,0.006,0.0069
F15Q10301009,D,0.0025,0.0031
F15Q10301064,F,0.0098,0.011
F15Q10301065,E,0.006,0.0069
F15Q10301075,A,0.0005,0.0008
F15Q10301090,B,0.0012,0.0016
F15Q10301096,A,0.0005,0.0008
F15Q10301113,E,0.006,0.0069
F15Q10301137,E,0.006,0.0069
F15Q10301173,H,0.0236,0.0267
F15Q10301202,E,0.006,0.0069
F15Q10301238,C,0.0015,0.002
F15Q10301242,H,0.0236,0.0267
F15Q10301299,F,0.0098,0.011
F15Q10301300,E,0.006,0.0069
F15Q10301327,F,0.0098,0.011
F15Q10301366,A,0.0005,0.0008
F15Q10301373,F,0.0098,0.011
F15Q10301384,E,0.006,0.0069
F15Q10301503,B,0.0012,0.0016
F15Q10301527,E,0.006,0.0069
F15Q10301566,G,0.0129,0.0143
F15Q10301587,E,0.006,0.0069
F15Q10301592,C,0.0015,0.002
F15Q10301615,C,0.0015,0.002
F15Q10301628,A,0.0005,0.0008
F15Q10301681,D,0.0025,0.0031
F15Q10301702,E,0.006,0.0069
F15Q10301799,E,0.006,0.0069
F15Q10301803,F,0.0098,0.011
F15Q10301815,G,0.0129,0.0143
F15Q10301879,F,0.0098,0.011
F15Q10301888,F,0.0098,0.011
F15Q10301926,E,0.006,0.0069
F15Q10301939,C,0.0015,0.002
F15Q10301985,F,0.0098,0.011
F15Q10301986,D,0.0025,0.0031
F15Q10302010,B,0.0012,0.0016
F15Q10302096,G,0.0129,0.0143
F15Q10302160,C,0.0015,0.002
F15Q10302169,A,0.0005,0.0008
F15Q10302192,H,0.0236,0.0267
F15Q10302211,F,0.0098,0.011
F15Q10302222,C,0.0015,0.002
F15Q10302240,B,0.0012,0.0016
F15Q10302310,D,0.0025,0.0031
F15Q10302336,F,0.0098,0.011
F15Q10302366,C,0.0015,0.002
F15Q10302408,E,0.006,0.0069
F15Q10302476,A,0.0005,0.0008
F15Q10302592,B,0.0012,0.0016
F15Q10302593,F,0.0098,0.011
F15Q10302618,G,0.0129,0.0143
F15Q10302657,B,0.0012,0.0016
F15Q10302667,D,0.0025,0.0031
F15Q10302684,B,0.0012,0.0016
F15Q10302690,C,0.0015,0.002
F15Q10302711,D,0.0025,0.0031
F15Q10302758,C,0.0015,0.002
F15Q10302760,A,0.0005,0.0008
F15Q10302786,E,0.006,0.0069
F15Q10302799,E,0.006,0.0069
F15Q10302813,B,0.0012,0.0016
F15Q10302851,G,0.0129,0.0143
F15Q10302934,A,0.0005,0.0008
F15Q10302994,H,0.0236,0.0267
F15Q10303034,D,0.0025,0.0031
F15Q10303093,A,0.0005,0.0008
F15Q10303178,H,0.0236,0.0267
F15Q10303305,F,0.0098,0.011
F15Q10303308,F,0.0098,0.011
F15Q10303311,D,0.0025,0.0031
F15Q10303324,G,0.0129,0.0143
F15Q10303338,H,0.0236,0.0267
F15Q10303412,F,0.0098,0.011
F15Q10303419,B,0.0012,0.0016
F15Q10303446,A,0.0005,0.0008
F15Q10303479,G,0.0129,0.0143
F15Q10303555,E,0.006,0.0069
F15Q10303607,G,0.0129,0.0143
F15Q10303732,B,0.0012,0.0016
F15Q10303762,H,0.0236,0.0267
F15Q10303790,F,0.0098,0.011
F15Q10303867,B,0.0012,0.0016
F15Q10303930,A,0.0005,0.0008
F15Q10303934,G,0.0129,0.0143
F15Q10303979,C,0.0015,0.002
F15Q10304035,F,0.0098,0.011
F15Q10304054,F,0.0098,0.011
F15Q10304131,F,0.0098,0.011
F15Q10304165,F,0.0098,0.011
F15Q10304168,D,0.0025,0.0031
F15Q10304177,C,0.0015,0.002
F15Q10304195,A,0.0005,0.0008
F15Q10304239,D,0.0025,0.0031
F15Q10304240,E,0.006,0.0069
F15Q10304255,H,0.0236,0.0267
F15Q10304269,C,0.0015,0.002
F15Q10304316,C,0.0015,0.002
F15Q10304318,D,0.0025,0.0031
F15Q10304322,E,0.006,0.0069
F15Q10304329,H,0.0236,0.0267
F15Q10304358,C,0.0015,0.002
F15Q10304376,C,0.0015,0.002
F15Q10304379,E,0.006,0.0069
F15Q10304424,D,0.0025,0.0031
F15Q10304437,F,0.0098,0.011
F15Q10304510,D,0.0025,0.0031
F15Q10304520,H,0.0236,0.0267
F15Q10304608,E,0.006,0.0069
F15Q10304613,F,0.0098,0.011
F15Q10304645,H,0.0236,0.0267
F15Q10304814,F,0.0098,0.011
F15Q10304893,D,0.0025,0.0031
F15Q10304991,D,0.0025,0.0031
F15Q10305004,B,0.0012,0.0016
F15Q10305057,G,0.0129,0.0143
F15Q10305065,B,0.0012,0.0016
F15Q10305071,C,0.0015,0.002
F15Q10305092,B,0.0012,0.0016
F15Q10305162,C,0.0015,0.002
F15Q10305168,B,0.0012,0.0016
F15Q10305172,B,0.0012,0.0016
F15Q10305212,B,0.0012,0.0016
F15Q10305227,D,0.0025,0.0031
F15Q10305254,C,0.0015,0.002
F15Q10305323,A,0.0005,0.0008
F15Q10305335,G,0.0129,0.0143
F15Q10305352,E,0.006,0.0069
F15Q10305377,A,0.0005,0.0008
F15Q10305415,D,0.0025,0.0031
F15Q10305416,B,0.0012,0.0016
